host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_verifications,host_has_profile_pic,host_identity_verified,property_type,room_type,price,has_availability,instant_bookable,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month,amenities_encoded
1,0,0.99,1,1.0,1,1,1,1,167.0,1,0,22.0,38.0,1,1.0,2,3.0,3.0,1125,4.7,1125.0,1,50,80,303,3.0,0,5.0,4.92,4.95,4.95,4.92,5.0,4.89,3,0.47,492
1,0,0.99,1,1.0,1,1,1,1,386.0,1,0,22.0,38.0,1,2.5,2,4.0,4.0,1125,6.4,1125.0,0,0,0,138,1.0,0,4.76,4.76,4.76,4.82,4.76,4.9,4.9,3,0.22,509
1,1,1.0,1,1.0,1,1,1,1,95.0,1,0,1.0,1.0,0,1.0,1,1.0,1.0,30,1.0,1125.0,0,10,10,98,42.0,5,4.98,5.0,4.99,5.0,5.0,4.99,4.95,1,2.69,128
1,1,1.0,1,,1,1,0,1,205.0,1,0,1.0,1.0,1,2.0,3,2.3,3.0,140,3.0,1125.0,1,54,84,122,19.0,1,4.99,4.97,5.0,5.0,4.99,4.93,4.89,1,2.61,34
1,0,0.99,0,1.0,1,0,0,1,328.0,1,1,6.1,8.6,1,3.5,4,4.0,4.0,1125,4.0,1125.0,1,33,51,287,7.0,1,4.96,4.96,4.98,4.92,5.0,4.92,4.86,12,0.69,502
1,0,0.99,1,1.0,1,1,0,1,247.0,1,0,22.0,38.0,1,2.5,3,4.0,2.0,1125,4.9,1125.0,1,32,62,268,11.0,0,5.0,5.0,4.92,4.97,5.0,5.0,4.87,3,0.51,498
1,1,0.99,1,1.0,1,0,1,1,449.0,1,0,2.0,3.0,1,3.0,6,4.0,4.0,365,4.0,1125.0,0,16,16,16,0.0,0,5.0,4.9,5.0,5.0,5.0,5.0,4.9,2,0.13,179
1,1,1.0,1,1.0,1,1,0,1,169.0,1,1,2.0,2.0,0,1.0,2,2.0,3.0,180,3.0,1125.0,1,42,72,72,26.0,2,4.8,4.9,4.9,4.97,4.93,4.98,4.75,2,2.13,331
1,1,1.0,1,1.0,1,1,1,1,186.0,1,1,5.0,5.0,1,2.5,3,4.0,2.0,1125,2.6,1125.0,1,43,66,328,15.0,1,4.93,4.93,4.95,4.96,4.93,4.92,4.75,5,1.09,466
0,0,0.95,0,1.0,1,1,0,1,117.0,1,0,1.0,1.0,0,1.0,1,1.0,3.0,90,3.0,1107.2,0,31,61,124,24.0,1,4.95,4.93,4.93,4.91,4.96,4.86,4.88,1,1.62,445
1,1,1.0,1,1.0,1,1,0,1,83.0,1,1,4.0,11.0,0,1.0,1,1.0,28.0,180,28.0,180.0,1,59,89,364,5.0,0,4.83,4.79,4.85,4.89,5.0,4.85,4.9,2,0.7,208
1,1,1.0,0,,1,1,0,1,193.0,1,1,1.0,1.0,0,1.0,2,2.0,2.0,30,3.1,1125.0,1,54,84,359,4.0,1,4.93,4.92,4.98,4.96,4.97,4.94,4.83,1,1.58,149
1,1,1.0,1,0.0,1,0,1,1,123.0,1,0,1.0,1.0,0,1.0,0,3.0,31.0,1125,29.0,1125.0,1,59,89,269,3.0,0,5.0,4.9,4.9,5.0,5.0,4.9,4.8,1,0.28,76
1,1,1.0,0,0.0,1,1,1,1,350.0,1,1,1.0,4.0,1,2.0,4,2.3,30.0,1125,30.0,1125.0,1,60,90,365,2.0,0,4.9,5.0,4.9,5.0,5.0,5.0,4.75,1,0.16,201
0,0,0.95,0,1.0,1,1,0,0,119.0,1,0,2.0,7.0,0,1.0,1,1.0,31.0,60,31.0,1125.0,1,60,90,90,0.0,0,4.92,4.92,5.0,4.79,4.92,5.0,4.88,2,0.32,280
1,0,0.99,0,1.0,1,0,0,1,138.0,1,1,6.1,8.6,0,3.5,3,4.0,28.0,1125,28.0,1125.0,0,0,0,193,1.0,0,4.9,4.9,4.9,5.0,5.0,5.0,4.9,12,0.08,490
0,0,0.95,0,1.0,1,0,1,1,198.4130841,1,0,1.0,1.0,1,2.1,3,2.6,30.0,180,30.0,1125.0,1,55,81,188,0.0,0,4.9,4.9,4.9,4.9,4.9,4.9,4.8,1,2.1,204
